errors,transaction_count
,13094522
Insufficient Balance,130902
Bad PIN,32119
Technical Glitch,26271
Bad Card Number,7767
Bad Expiration,6161
Bad CVV,6106
Bad Zipcode,1126
"Bad PIN,Insufficient Balance",293
"Insufficient Balance,Technical Glitch",243
"Bad Card Number,Insufficient Balance",71
"Bad PIN,Technical Glitch",70
"Bad CVV,Insufficient Balance",57
"Bad Expiration,Insufficient Balance",47
"Bad Card Number,Bad CVV",38
"Bad Card Number,Bad Expiration",33
"Bad Expiration,Bad CVV",32
"Bad Expiration,Technical Glitch",21
"Bad Card Number,Technical Glitch",15
"Bad CVV,Technical Glitch",8
"Bad Zipcode,Insufficient Balance",7
"Bad Zipcode,Technical Glitch",5
"Bad Card Number,Bad Expiration,Insufficient Balance",1
